<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.23,1,20230912,114000,95051.0000000,95054.0000000,94958.0000000,94965.0000000,5654
SPFB.Si-9.23,1,20230912,114100,94962.0000000,94998.0000000,94952.0000000,94967.0000000,3244
SPFB.Si-9.23,1,20230912,114200,94968.0000000,95000.0000000,94959.0000000,95000.0000000,2840
SPFB.Si-9.23,1,20230912,114300,94997.0000000,95020.0000000,94991.0000000,95005.0000000,1232
SPFB.Si-9.23,1,20230912,114400,95011.0000000,95051.0000000,94998.0000000,95042.0000000,1396
SPFB.Si-9.23,1,20230912,114500,95044.0000000,95077.0000000,94954.0000000,94962.0000000,3574
SPFB.Si-9.23,1,20230912,114600,94961.0000000,94977.0000000,94920.0000000,94944.0000000,4281
SPFB.Si-9.23,1,20230912,114700,94950.0000000,94986.0000000,94948.0000000,94956.0000000,1228
SPFB.Si-9.23,1,20230912,114800,94960.0000000,95028.0000000,94959.0000000,94995.0000000,2118
SPFB.Si-9.23,1,20230912,114900,94989.0000000,95000.0000000,94972.0000000,94988.0000000,1233
SPFB.Si-9.23,1,20230912,115000,94987.0000000,94992.0000000,94970.0000000,94988.0000000,717
SPFB.Si-9.23,1,20230912,115100,94989.0000000,94995.0000000,94972.0000000,94972.0000000,650
SPFB.Si-9.23,1,20230912,115200,94972.0000000,94992.0000000,94971.0000000,94979.0000000,540
SPFB.Si-9.23,1,20230912,115300,94979.0000000,94989.0000000,94977.0000000,94981.0000000,618
SPFB.Si-9.23,1,20230912,115400,94980.0000000,94981.0000000,94963.0000000,94965.0000000,1101
SPFB.Si-9.23,1,20230912,115500,94965.0000000,94980.0000000,94937.0000000,94980.0000000,1974
SPFB.Si-9.23,1,20230912,115600,94980.0000000,95029.0000000,94980.0000000,95020.0000000,2772
SPFB.Si-9.23,1,20230912,115700,95020.0000000,95038.0000000,94990.0000000,95027.0000000,2721
SPFB.Si-9.23,1,20230912,115800,95027.0000000,95039.0000000,94988.0000000,95015.0000000,1485
SPFB.Si-9.23,1,20230912,115900,95014.0000000,95043.0000000,95000.0000000,95002.0000000,2831
SPFB.Si-9.23,1,20230912,120000,95007.0000000,95053.0000000,95005.0000000,95048.0000000,3182
SPFB.Si-9.23,1,20230912,120100,95048.0000000,95055.0000000,95003.0000000,95003.0000000,978
SPFB.Si-9.23,1,20230912,120200,95007.0000000,95046.0000000,94996.0000000,95046.0000000,938
SPFB.Si-9.23,1,20230912,120300,95046.0000000,95095.0000000,95046.0000000,95068.0000000,2717
SPFB.Si-9.23,1,20230912,120400,95068.0000000,95080.0000000,95054.0000000,95064.0000000,1082
SPFB.Si-9.23,1,20230912,120500,95063.0000000,95090.0000000,95063.0000000,95086.0000000,1166
SPFB.Si-9.23,1,20230912,120600,95083.0000000,95160.0000000,95072.0000000,95112.0000000,5622
SPFB.Si-9.23,1,20230912,120700,95112.0000000,95231.0000000,95109.0000000,95227.0000000,8001
